epoch,train_hess_mean,train_hess_min,train_loss
1,0.49941465,0.49791014,0.06971682
2,0.49824685,0.49706635,0.01624396
3,0.49708274,0.4959707,0.012487689
4,0.49591792,0.49484357,0.011327239
5,0.49475792,0.4937057,0.01064907
6,0.49360034,0.49255118,0.010189481
7,0.4924439,0.49140307,0.009846745
8,0.49129307,0.49025285,0.009613168
9,0.49014193,0.48910666,0.009363289
10,0.48899543,0.48796332,0.009235611
11,0.48785123,0.48681912,0.009056288
12,0.48670852,0.48568347,0.008938782
13,0.4855705,0.4845484,0.00872555
14,0.4844337,0.48341283,0.008593698
15,0.4832994,0.48228577,0.008615608
16,0.48216915,0.4811585,0.0084868865
17,0.48104012,0.4800332,0.008376032
18,0.47991428,0.4789131,0.008327386
19,0.47879207,0.4777933,0.008238964
20,0.47766992,0.47667736,0.0080995485
21,0.4765533,0.47556388,0.008010734
22,0.47543752,0.47445247,0.008027037
23,0.47432405,0.47334337,0.008010734
24,0.47321573,0.4722363,0.007876665
25,0.47210637,0.47113386,0.007870406
26,0.47100258,0.4700345,0.007754204
27,0.46990046,0.46893275,0.0077256425
28,0.46879938,0.46783724,0.0077196434
29,0.4677036,0.46674347,0.0077231647
30,0.46660843,0.4656489,0.007704906
31,0.46551606,0.4645635,0.0076603037
32,0.46442747,0.46347532,0.0076523484
33,0.46333987,0.46239138,0.0075263656
34,0.4622554,0.46131214,0.0075378423
35,0.46117416,0.46023318,0.007455549
36,0.46009395,0.45916024,0.007455549
37,0.45901772,0.4580917,0.007448637
38,0.45794433,0.45701978,0.007433378
39,0.45687076,0.4559542,0.007313525
40,0.4558027,0.45489255,0.0072943536
41,0.4547359,0.45382854,0.0073496504
42,0.4536703,0.45276833,0.007266053
43,0.45261046,0.45170957,0.0072798776
44,0.45155025,0.45065314,0.007324219
45,0.45049286,0.44960144,0.007254837
46,0.44943982,0.44855145,0.0071874117
47,0.44838658,0.4475015,0.007170979
48,0.4473379,0.44645542,0.0071469825
49,0.4462916,0.44540927,0.0071746306
50,0.4452457,0.44437104,0.0071023796
51,0.4442044,0.44333452,0.007126898
52,0.44316518,0.442298,0.007088425
53,0.44212702,0.44126612,0.007072775
54,0.44109318,0.440238,0.007083991
55,0.4400611,0.43920723,0.007045518
56,0.43902975,0.4381792,0.006939489
57,0.43800333,0.43715724,0.006976527
58,0.43697876,0.43613312,0.0069820047
59,0.43595445,0.43511704,0.0069737886
60,0.43493545,0.43410093,0.0069465316
61,0.4339175,0.43308404,0.0068933214
62,0.43290058,0.43207228,0.006860065
63,0.43188933,0.43106326,0.0068451976
64,0.43087786,0.43005535,0.0068505444
65,0.42986804,0.42905533,0.0068655424
66,0.42886388,0.42805472,0.0067792065
67,0.4278595,0.4270565,0.006837503
68,0.42685744,0.42606115,0.006773729
69,0.42585966,0.4250639,0.006824722
70,0.42486218,0.42407003,0.006806333
71,0.42386746,0.42308265,0.0066888276
72,0.42287675,0.42209303,0.0067299088
73,0.42188635,0.42110655,0.0067231273
74,0.42089808,0.42012528,0.0066778725
75,0.4199144,0.41914544,0.0065711914
76,0.4189315,0.41816562,0.006658962
77,0.4179498,0.41719356,0.006675003
78,0.41697282,0.41622084,0.006599492
79,0.41599703,0.41524562,0.0065662353
80,0.41502196,0.4142755,0.0065831896
81,0.4140523,0.41330636,0.0065132864
82,0.41308302,0.41233763,0.0065267193
83,0.41211474,0.41137403,0.006554498
84,0.4111522,0.41041198,0.006504418
85,0.41018948,0.40945008,0.006554889
86,0.4092277,0.4084929,0.006512634
87,0.40827203,0.40753734,0.006447947
88,0.40731645,0.40658197,0.0064592934
89,0.40636134,0.40563112,0.006488768
90,0.40541175,0.40468267,0.006451338
91,0.4044634,0.40373453,0.006463728
92,0.40351528,0.40278986,0.0063957805
93,0.40257162,0.40184838,0.0064922892
94,0.40163016,0.4009071,0.0064510773
95,0.4006892,0.39996815,0.0063530034
96,0.3997514,0.3990337,0.00634883
97,0.39881665,0.39809918,0.00640191
98,0.3978828,0.39716628,0.0064042574
99,0.39695102,0.39623845,0.0063438746
100,0.39602312,0.3953111,0.006298359
101,0.39509597,0.3943844,0.0063344846
102,0.39417017,0.39346257,0.006328355
103,0.39324918,0.39254218,0.0062954896
104,0.3923287,0.391622,0.0063056624
105,0.3914089,0.39070654,0.0062450184
106,0.39049438,0.38979322,0.006278405
107,0.38958073,0.38887966,0.006271493
108,0.38866717,0.38796955,0.0062494525
109,0.38775888,0.38706294,0.0062134573
110,0.38685197,0.38615635,0.0062820567
111,0.38594508,0.3852517,0.006215153
112,0.38504207,0.38435197,0.006248148
113,0.38414225,0.38345188,0.006198329
114,0.3832423,0.38255328,0.0061772014
115,0.38234475,0.38165924,0.006159856
116,0.3814514,0.3807666,0.0061828094
117,0.38055795,0.37987396,0.0061825486
118,0.37966627,0.3789849,0.006141076
119,0.37877834,0.37809917,0.006129599
120,0.37789285,0.377214,0.006076911
121,0.37700796,0.37632978,0.006126991
122,0.37612468,0.3754505,0.0061092544
123,0.37524545,0.37457192,0.0061282953
124,0.37436727,0.3736937,0.006098169
125,0.37348947,0.3728201,0.006111341
126,0.3726167,0.37194848,0.0060870834
127,0.3717452,0.37107685,0.0060893004
128,0.37087372,0.370208,0.006064782
129,0.3700058,0.3693432,0.0060821273
130,0.3691415,0.36847842,0.006056305
131,0.36827677,0.3676143,0.00605474
132,0.3674131,0.3667555,0.006047567
133,0.36655548,0.3658978,0.006049784
134,0.36569774,0.36504012,0.006033743
135,0.36483958,0.3641856,0.0060190056
136,0.3639871,0.36333486,0.006002182
137,0.36313617,0.36248404,0.00602344
138,0.36228502,0.36163405,0.005997878
139,0.3614365,0.36078933,0.005965274
140,0.36059225,0.3599455,0.0059888796
141,0.359748,0.35910165,0.0058918493
142,0.35890487,0.358261,0.005941538
143,0.35806558,0.35742417,0.005899022
144,0.3572282,0.3565871,0.0059408857
145,0.35639212,0.3557509,0.0059869234
146,0.3555563,0.35491973,0.00593593
147,0.35472566,0.3540897,0.0059543187
148,0.35389635,0.35325998,0.005916237
149,0.35306615,0.3524322,0.005938799
150,0.3522399,0.35160926,0.005942842
151,0.35141727,0.35078648,0.0058888495
152,0.3505942,0.34996367,0.0059022824
153,0.34977195,0.3491454,0.0058662873
154,0.34895477,0.34832942,0.005894979
155,0.3481389,0.34751347,0.005924323
156,0.34732312,0.34669852,0.0059206714
157,0.34650898,0.34588885,0.005827684
158,0.34570014,0.34507987,0.0058768513
159,0.34489122,0.34427097,0.0058613317
160,0.344082,0.34346455,0.0058462033
161,0.3432775,0.34266254,0.0058398126
162,0.3424753,0.34186065,0.005833031
163,0.34167317,0.34105882,0.0058575496
164,0.34087214,0.3402613,0.0058248146
165,0.3400755,0.33946618,0.005809034
166,0.3392805,0.33867118,0.0058163377
167,0.3384856,0.33787683,0.0058253366
168,0.33769196,0.33708748,0.005824554
169,0.33690354,0.33629945,0.005774213
170,0.3361152,0.33551145,0.0058047306
171,0.33532757,0.33472475,0.0058203805
172,0.33454207,0.33394292,0.005768214
173,0.33376062,0.3331619,0.0057472168
174,0.3329801,0.33238083,0.0057678227
175,0.33219865,0.3316023,0.00579521
176,0.3314214,0.33082807,0.0058413777
177,0.33064744,0.33005393,0.0057430435
178,0.32987338,0.32927978,0.005753607
179,0.3290996,0.32850903,0.0057721264
180,0.32832986,0.3277419,0.005750216
181,0.32756326,0.32697487,0.005752042
182,0.32679594,0.32620785,0.0057456517
183,0.32602897,0.32544473,0.005725437
184,0.3252677,0.3246846,0.005764823
185,0.32450718,0.3239245,0.0057687354
186,0.32374722,0.3231645,0.005712004
187,0.32298753,0.3224089,0.005731567
188,0.3222333,0.32165575,0.0057277847
189,0.32148013,0.32090262,0.005725959
190,0.32072666,0.32014963,0.0057271323
191,0.3199748,0.31940132,0.005737566
192,0.3192271,0.31865507,0.0057040486
193,0.31848124,0.31790897,0.005658533
194,0.31773496,0.31716293,0.0056411875
195,0.31698942,0.3164217,0.0057107
196,0.3162494,0.31568247,0.005647317
197,0.31550995,0.31494325,0.0056580114
198,0.31477123,0.3142042,0.0057096565
199,0.3140321,0.31346977,0.005660359
200,0.3132992,0.31273758,0.0056799217
201,0.31256667,0.31200528,0.005673922
202,0.31183457,0.31127313,0.0056693577
203,0.31110284,0.31054544,0.005620451
204,0.31037608,0.30982018,0.005679139
205,0.30965123,0.3090949,0.0056495345
206,0.3089254,0.30836964,0.0056261895
207,0.30820096,0.307648,0.0056359707
208,0.3074803,0.30692968,0.005663098
209,0.30676243,0.3062114,0.0055986717
210,0.30604395,0.3054932,0.0056359707
211,0.30532578,0.30477765,0.0056049316
212,0.30461177,0.30406633,0.0056336233
213,0.30390036,0.30335498,0.0055964547
214,0.30318934,0.30264357,0.005650447
215,0.30247766,0.30193406,0.005659446
216,0.30177006,0.30122948,0.00567314
217,0.30106497,0.3005251,0.0055986717
218,0.30036116,0.29982078,0.005590064
219,0.29965645,0.2991173,0.0056267115
220,0.29895422,0.29841903,0.0055354196
221,0.2982564,0.29772162,0.005641709
222,0.29755914,0.29702428,0.005616278
223,0.29686162,0.296327,0.005605584
224,0.29616502,0.29563448,0.0056127566
225,0.29547372,0.29494402,0.0055783265
226,0.2947831,0.29425368,0.0055578514
227,0.29409298,0.2935633,0.0055977586
228,0.29340237,0.29287574,0.0056074094
229,0.29271677,0.29219228,0.005580935
230,0.29203287,0.29150885,0.005571806
231,0.29135,0.29082543,0.0055504176
232,0.2906661,0.29014304,0.0055964547
233,0.28998524,0.2894659,0.00555746
234,0.28930816,0.2887894,0.0055539384
235,0.2886322,0.2881129,0.0055780658
236,0.28795534,0.28743652,0.0055179438
237,0.2872798,0.28676423,0.0055705016
238,0.28660876,0.2860948,0.0055178134
239,0.28593954,0.2854253,0.005575197
240,0.28526977,0.28475586,0.005534376
241,0.28460056,0.28408834,0.0055242036
242,0.28393394,0.2834256,0.0055566775
243,0.28327167,0.2827631,0.005629059
244,0.28260896,0.28210056,0.005583152
245,0.28194654,0.2814382,0.005548722
246,0.28128466,0.28078052,0.005508293
247,0.2806282,0.28012502,0.005512727
248,0.27997255,0.27946946,0.0055197696
249,0.27931714,0.27881393,0.005522508
250,0.27866152,0.27816,0.0055656764
251,0.27800897,0.27751106,0.005555373
252,0.2773603,0.27686253,0.0055608507
253,0.27671182,0.27621397,0.0055521126
254,0.2760632,0.2755654,0.0055210735
255,0.27541506,0.27492088,0.0055007287
256,0.27477184,0.27427936,0.00551051
257,0.27413028,0.27363777,0.005495121
258,0.27348858,0.2729962,0.005539332
259,0.27284724,0.2723553,0.005538419
260,0.27220708,0.27171963,0.005511814
261,0.27157235,0.27108496,0.005498903
262,0.27093753,0.27045038,0.005524986
263,0.2703031,0.26981574,0.005522769
264,0.26966825,0.26918313,0.0055060755
265,0.26903737,0.26855528,0.0055428534
266,0.2684094,0.26792765,0.0055012503
267,0.26778212,0.26730004,0.0054986416
268,0.26715416,0.26667237,0.005526812
269,0.26652712,0.26604834,0.0054743844
270,0.2659041,0.26542768,0.0054938165
271,0.26528382,0.26480702,0.005508945
272,0.2646628,0.26418635,0.0054986416
273,0.2640425,0.26356584,0.005493034
274,0.26342228,0.26294997,0.005478949
275,0.26280785,0.26233628,0.005493947
276,0.2621939,0.2617226,0.005456778
277,0.26158038,0.2611089,0.005469037
278,0.26096663,0.26049572,0.005504902
279,0.26035425,0.25988767,0.005475297
280,0.25974703,0.25928092,0.005445301
281,0.2591402,0.25867423,0.005486122
282,0.25853366,0.25806752,0.00546669
283,0.25792673,0.25746158,0.005496164
284,0.25732195,0.2568608,0.0054919906
285,0.25672165,0.25626105,0.005438911
286,0.25612223,0.25566134,0.0054322598
287,0.2555221,0.25506157,0.005447127
288,0.25492275,0.2544627,0.0055022934
289,0.25432453,0.25386906,0.0054777754
290,0.25373176,0.2532763,0.0054713846
291,0.253139,0.2526836,0.0054758186
292,0.25254622,0.25209078,0.0054361722
293,0.2519536,0.25149882,0.00547608
294,0.25136238,0.2509121,0.005483644
295,0.2507765,0.25032628,0.005459517
296,0.2501904,0.24974048,0.0053973077
297,0.24960497,0.24915546,0.0054535177
298,0.24902031,0.24857295,0.0054709935
299,0.24843833,0.24799067,0.005454039
300,0.24785604,0.24741052,0.005461082
